County,BowAndArrow,Crossbow,Gun,Muzzleloader,Unknown,Total,Year
Perquimans,0,0,14,0,,14,2018
Perquimans,0,0,18,0,,18,2019
Perquimans,0,0,19,0,,19,2020
Perquimans,0,0,11,0,,11,2021
Person,0,0,7,0,0,7,2015
Person,0,0,8,1,0,9,2016
Person,0,0,7,0,,7,2017
Person,0,0,4,0,,4,2018
Person,0,0,9,0,,9,2019
Person,0,0,8,1,,9,2020
Person,0,0,7,0,,7,2021
Pitt,0,0,37,1,0,38,2015
Pitt,1,0,59,0,0,60,2016
Pitt,1,0,56,0,,57,2017
Pitt,0,0,48,1,,49,2018
Pitt,0,0,49,0,,49,2019
Pitt,0,0,65,1,,66,2020
Pitt,1,0,53,0,,54,2021
Polk,3,0,6,0,0,9,2015
Polk,0,0,3,0,0,3,2016
Polk,1,1,5,0,,7,2017
Polk,2,2,7,4,,15,2018
Polk,5,0,12,1,,18,2019
Polk,4,4,14,3,,25,2020
Polk,4,0,27,3,,34,2021
Randolph,0,0,0,0,0,0,2015
Randolph,0,0,1,0,0,1,2016
Randolph,0,0,0,0,,0,2017
Randolph,0,0,0,0,,0,2018
Randolph,0,0,0,0,,0,2019
Randolph,0,0,0,0,,0,2020
Randolph,0,0,0,0,,0,2021
Richmond,0,0,0,0,0,0,2015
Richmond,0,0,0,0,0,0,2016
Richmond,0,0,0,0,,0,2017
Richmond,0,0,0,0,,0,2018
Richmond,0,0,0,0,,0,2019
Richmond,0,0,0,0,,0,2020
Richmond,0,0,0,0,,0,2021
Robeson,0,0,2,0,0,2,2015
Robeson,0,0,0,0,0,0,2016
Robeson,0,0,0,0,,0,2017
Robeson,0,0,0,0,,0,2018
Robeson,0,0,1,0,,1,2019
Robeson,0,0,1,0,,1,2020
Robeson,0,0,2,0,,2,2021
Rockingham,0,0,3,0,0,3,2015
Rockingham,0,0,5,0,0,5,2016
Rockingham,0,0,4,0,,4,2017
Rockingham,0,0,5,0,,5,2018
Rockingham,1,0,9,0,,10,2019
Rockingham,0,0,3,0,,3,2020
Rockingham,1,1,4,0,,6,2021
Rowan,0,0,0,0,0,0,2015
Rowan,0,0,0,0,0,0,2016
Rowan,0,0,0,0,,0,2017
Rowan,0,0,0,0,,0,2018
Rowan,0,0,0,0,,0,2019
Rowan,0,0,0,0,,0,2020
Rowan,0,0,0,0,,0,2021
Rutherford,2,0,12,0,0,14,2015
Rutherford,3,1,8,1,0,13,2016
Rutherford,2,1,13,0,,16,2017
Rutherford,5,4,14,1,,24,2018
Rutherford,4,2,15,2,,23,2019
Rutherford,4,2,13,0,,19,2020
Rutherford,2,1,30,2,,35,2021
Sampson,0,0,20,0,0,20,2015
Sampson,1,0,35,0,1,37,2016
Sampson,0,0,31,0,,31,2017
Sampson,1,0,25,0,,26,2018
Sampson,1,0,53,0,,54,2019
Sampson,1,0,55,0,,56,2020
Sampson,0,0,76,0,,76,2021
Scotland,0,0,0,0,0,0,2015
Scotland,0,0,0,0,0,0,2016
Scotland,0,0,0,0,,0,2017
Scotland,0,0,0,0,,0,2018
Scotland,0,0,0,0,,0,2019
Scotland,0,0,0,0,,0,2020
Scotland,0,0,0,0,,0,2021
Stanly,0,0,0,0,0,0,2015
Stanly,0,0,0,0,0,0,2016
Stanly,0,0,0,0,,0,2017
Stanly,0,0,0,0,,0,2018
Stanly,0,0,0,0,,0,2019
Stanly,0,0,1,0,,1,2020
Stanly,0,0,0,0,,0,2021
Stokes,0,0,6,2,0,8,2015
Stokes,0,0,6,0,0,6,2016
Stokes,0,0,19,0,,19,2017
Stokes,0,0,8,0,,8,2018
Stokes,1,0,13,1,,15,2019
Stokes,0,0,13,0,,13,2020
Stokes,0,0,4,0,,4,2021
Surry,1,1,5,1,0,8,2015
Surry,2,2,13,4,0,21,2016
Surry,1,0,16,1,,18,2017
Surry,1,0,5,0,,6,2018
Surry,3,4,12,4,,23,2019
Surry,3,1,8,6,,18,2020
Surry,1,0,6,5,,12,2021
Swain,0,0,24,0,0,24,2015
Swain,0,0,23,0,0,23,2016
Swain,0,0,33,0,,33,2017
Swain,0,0,52,0,,52,2018
Swain,0,0,42,0,,42,2019
Swain,0,0,35,0,,35,2020
Swain,0,0,27,0,,27,2021
Transylvania,0,0,32,1,0,33,2015
Transylvania,1,0,23,1,0,25,2016
Transylvania,1,0,41,0,,42,2017
Transylvania,4,1,40,0,,45,2018
Transylvania,1,0,52,0,,53,2019
Transylvania,3,0,41,1,,45,2020
Transylvania,7,0,51,1,,59,2021
Tyrrell,2,0,258,3,1,264,2015
Tyrrell,1,0,228,2,0,231,2016
Tyrrell,1,1,181,2,,185,2017
Tyrrell,2,0,251,5,,258,2018
Tyrrell,1,0,214,2,,217,2019
Tyrrell,1,3,201,3,,208,2020
Tyrrell,2,1,207,2,,212,2021
Union,0,0,0,0,0,0,2015
Union,0,0,0,0,0,0,2016
